0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106
1.2688116,1.1778038,1.0787463,0.8859444,1.0114233,0.57655007,0.825536,1.2152146,0.6177414,0.7309461,0.8077928,0.9360889,0.868653,0.80298084,0.52543247,0.79646015,0.5831109,0.30557844,0.34193036,0.35443473,0.2742697,0.26517007,0.17319557,0.36561683,0.5848659,0.8632127,0.84580034,0.90538293,0.83754426,0.7332963,1.1450207,0.94150716,0.8868777,1.1083648,1.0157499,0.93553054,0.9501527,0.73516184,0.9703953,0.75563157,1.1244454,1.0129682,1.0908186,0.9195442,0.9865192,0.9837296,0.5640893,0.52617437,0.501367,0.6205945,0.631026,0.43365988,0.38511983,0.20803846,0.6488377,0.37778962,0.06834023,0.24842922,0.42808297,0.4855352,0.99472874,0.61170554,0.8611039,0.82450336,0.8662779,1.0004299,0.9098869,1.0135053,0.69243014,0.751938,0.76496524,0.9148892,0.93838114,1.0908109,1.0926689,0.8058562,0.94527864,0.6831132,0.65185434,0.61528677,0.61696154,0.5997939,0.79005545,0.5555352,0.20538391,,,,,,,,,,,,,,,,,,,,,,
1.38699,0.9863783,1.0560977,1.26969,1.0022097,0.8285099,0.4862686,0.7915427,0.8981759,0.5865305,0.8508586,0.75375146,0.46729267,0.67170155,0.62167966,0.7483209,0.76813334,0.43349856,1.0323286,1.1047939,0.13596371,0.15732485,0.18625048,0.29302302,0.22614889,0.17063624,1.0481067,0.7330396,0.35406578,0.91897845,0.96585554,0.8597576,1.1160172,0.89648396,0.9374674,0.8610159,1.0956337,1.1029943,0.9825051,0.6600302,0.9812276,1.2290361,1.0620654,0.7983143,0.43584123,0.98722136,0.88349557,0.5074613,0.4008761,0.6400861,0.5709231,0.42833918,0.3856483,0.76868224,0.3994821,0.28145555,0.09682983,0.114986055,0.13155088,0.60132515,0.8475325,0.8273998,1.0028945,0.85663885,0.8447268,0.9156134,0.84842366,1.3401403,0.44672468,0.6379823,0.8820565,1.1295063,0.6872222,1.0135299,1.2157702,1.0297052,0.7995732,1.2487453,0.69350064,0.6356115,0.49481118,0.69765246,0.33182526,0.20073007,0.6914915,,,,,,,,,,,,,,,,,,,,,,
0.853811,1.4246123,0.9469624,0.85690033,0.65425766,0.84296405,0.73422295,1.1345284,0.6258783,0.8314394,1.1509981,0.7026334,0.40565765,0.56878513,0.8525173,0.42272347,0.56251013,0.42357463,0.32186887,0.30780488,0.1535914,0.14874095,0.2812058,0.29086587,0.6304448,0.52197206,0.6124513,0.95663327,1.1342006,1.064539,0.8072288,0.98964137,1.0647187,0.9881873,1.0125673,0.80607706,0.7928379,0.48768416,1.0702862,1.0367222,0.41691688,0.7006658,1.0585783,0.47423953,0.7352383,0.4724809,0.57245415,1.028159,0.63865215,0.34411666,0.48935542,0.24331613,0.6333609,0.33522296,0.19254285,0.35071987,0.12941529,0.2101436,0.27594343,0.48731303,0.6731347,0.63202685,1.0162393,0.8795279,0.5764565,1.0417789,1.0435368,1.3900504,0.8650049,0.9618676,0.6609793,0.90230495,0.89505905,1.0441462,1.1469107,0.75121844,0.9473961,0.79822844,0.82597864,0.47123516,0.61051536,0.5666531,0.36771572,0.2916651,0.23066874,,,,,,,,,,,,,,,,,,,,,,
1.0264039,1.0125729,0.5632916,0.87073404,0.8083454,0.88441694,0.5672123,0.82807094,0.5106989,0.8831999,0.82102907,0.6729874,0.93228495,0.6032133,0.7051592,0.5269373,0.71807617,0.57316554,0.43354544,0.31683746,0.2663297,0.13503407,0.16653764,0.12275554,0.6111515,0.6224432,0.7851095,0.8608112,0.4459089,1.0715522,0.98112315,1.2112303,0.88149977,0.95653176,0.91710466,0.89130265,0.7630535,0.7857057,0.86749154,0.8607157,0.83972657,0.71161723,0.9535197,0.53329045,0.5391562,0.5839799,0.43403852,0.69611263,0.76965845,0.5836941,0.71179384,0.63235843,0.6904057,0.18146165,0.6282732,0.5579218,0.116251275,0.18253909,0.24547018,0.46520197,0.62872726,0.7263879,0.6207181,1.1365702,0.82142395,0.9246164,1.0204369,1.1890016,0.9236156,0.7196518,0.98971486,1.0237116,1.0139322,0.92737347,0.7734005,0.82231617,0.95782095,0.9537638,0.7516891,0.6691485,0.49092537,0.78076833,0.4983017,0.42813832,0.25907308,,,,,,,,,,,,,,,,,,,,,,
1.1174417,0.6641288,0.556181,0.8004409,0.85313267,0.7693456,0.60378116,0.7775296,0.6109214,1.151756,0.8212603,0.3696791,0.5218169,0.52308875,0.41796544,0.53825974,0.31921563,0.4182377,0.8739477,0.56653184,0.23954473,0.12098388,0.15814254,0.30025917,0.8584799,0.78531396,0.5407719,1.0452939,0.50463134,0.938791,1.188558,0.8951831,0.84096897,0.87670916,0.9817489,0.9733604,1.0006318,0.84361535,0.8830354,0.87916505,1.258187,0.7486564,1.0875663,1.0602655,0.65160614,0.3821904,0.5967474,0.88580424,0.5273557,0.89130646,0.26086235,0.737533,0.666679,0.1586381,0.095984876,0.18503857,0.18456124,0.6403692,0.45747998,0.85550696,0.50048465,0.45656398,1.106606,1.2051907,0.98378223,0.82346374,0.5398127,1.1589495,0.60525113,0.5870983,0.8956693,0.49550834,0.56092656,0.8909145,1.0014371,0.58579063,0.45807704,0.51443297,0.49050876,0.4764294,0.52210397,0.29094213,0.51985425,0.4523671,0.20023009,,,,,,,,,,,,,,,,,,,,,,
1.1231625,0.7202557,1.1227112,1.0474216,1.1200639,0.762578,0.7680804,0.67140937,0.3402558,0.36285156,0.9039292,0.9335244,0.7729095,1.183641,0.60722035,0.573577,0.53585047,0.34241003,1.0605944,0.6172432,0.13366356,0.22883002,0.19958013,0.23291908,0.733989,0.67167,0.927708,0.70302075,0.6303053,1.1629673,1.0701196,1.0030575,0.8322856,1.115732,0.780411,0.9886322,0.8751119,0.6964789,0.7225396,0.6341861,0.45431513,0.70858675,0.6672526,1.1955408,0.7632242,0.7344641,0.4518871,0.88667214,0.5757448,0.43870348,0.5676275,0.6632064,0.35834116,0.25914913,0.35997993,0.69298667,0.13869531,0.3955733,0.29555586,0.5107184,0.58571404,0.72664225,0.92897767,0.8945796,0.93128574,0.7942263,1.2037455,1.5193272,0.6271541,0.80539364,0.7604378,1.1748667,1.1163356,0.8602368,1.0397652,0.7655859,0.9309743,0.45994452,0.4016267,0.7392668,0.4313991,0.59403515,0.48288128,0.42965254,0.28984952,,,,,,,,,,,,,,,,,,,,,,
1.0540559,0.9044534,1.2541488,0.93290514,1.1290904,1.0825368,0.9269464,0.78191733,0.7279168,0.94380087,1.1757935,0.8823359,0.7386878,0.6038243,0.7906021,0.6185151,0.54996574,0.4984263,1.0523399,0.7637392,0.3542343,0.45027176,0.43731076,0.15693077,0.22095732,0.19272226,0.4989914,0.83024853,0.9150929,0.6962673,0.8700139,0.4303513,0.9726763,0.88568646,0.9129427,1.1839223,1.0493423,1.0978801,0.99322456,0.8518303,0.8933432,1.032263,1.1430061,0.73582417,0.83574706,0.8038755,0.57616264,0.765276,0.66407084,0.4981562,0.5814726,0.5410741,0.359089,0.5309401,0.42899644,0.36596125,0.16606413,0.44229192,0.4302798,0.35491443,0.17686549,0.25793245,0.4608447,0.55079657,0.6407086,0.5340232,0.9494965,1.2722943,0.75744313,1.0226804,0.91025317,0.9152988,1.1357244,1.18777,1.149642,0.8509736,1.0365324,0.88532376,0.89221144,1.0248176,0.52836967,0.65918255,0.6489286,0.4212814,0.2509402,,,,,,,,,,,,,,,,,,,,,,
0.85028857,0.8674801,1.0120263,0.8985898,0.9899874,0.64419645,0.9110612,0.8762443,0.6463359,0.5083707,0.7478002,0.6644202,0.64151037,0.7145642,1.0694292,0.77846986,0.7627993,0.43022957,0.325444,0.2887357,0.26608762,0.2436537,0.33227265,0.10210498,0.28756794,0.34995508,0.60558444,0.93313986,0.8751779,0.55634975,1.1853645,1.0466014,0.8765688,0.8236246,1.127745,0.8069323,0.87939477,0.9156943,0.8966473,0.9136018,1.0056227,0.71742356,0.91279507,1.013704,0.7521104,0.453149,0.36615574,0.8521225,0.7819511,0.4282785,0.8614625,0.66744506,0.54468334,0.26936573,0.62868404,0.5589597,0.07339182,0.20789236,0.15374224,0.5059862,0.88747233,0.7277575,0.80394036,0.96428144,0.8376874,0.9732942,1.1370718,1.3621014,0.8821139,1.0242636,0.75209576,0.6198559,0.86581516,0.9193866,1.1448087,0.850148,0.92688006,1.0900466,0.79230094,0.49239168,0.52554715,0.6229131,0.35317287,0.66839784,0.35908538,,,,,,,,,,,,,,,,,,,,,,
1.0485315,0.6624654,1.0858995,1.1192362,1.0466701,1.000192,0.56589955,1.0222927,0.9535831,1.0932673,0.55222934,1.1356026,0.7496661,0.5968208,0.48144665,0.40880176,0.86154926,0.52965355,0.41464233,0.4396403,0.15641572,0.23180717,0.2888444,0.12576488,0.44024736,0.5650919,0.28109095,0.43647286,0.4385609,0.6715695,1.0690734,0.56893384,1.1148331,0.7072634,0.77489793,0.7979169,0.801656,0.8508187,0.7511779,1.1552091,0.59219795,0.6713172,0.75624305,0.7485453,0.62408376,0.65319204,0.82015413,0.59648484,0.7318807,0.53739023,0.72562605,0.9298584,0.28053227,0.5260871,0.29969108,0.40897098,0.08399789,0.122457355,0.1797664,0.2844613,0.5688971,0.7206013,1.0533304,1.2079949,1.0147865,0.85573584,1.1051266,0.7016905,0.50748026,0.59634596,0.912732,0.6922205,0.7295555,0.92336124,0.7257406,1.0303406,0.8244379,0.6792238,0.49263826,0.3873164,0.7525976,0.600999,0.27645263,0.29275706,0.26377657,,,,,,,,,,,,,,,,,,,,,,
0.65525055,0.8643086,1.128761,0.85048425,1.0042557,0.9674751,0.756973,0.78608775,0.61246294,0.78071684,0.8933993,0.63141376,0.90426975,0.8753253,0.92925996,0.8755585,0.29693604,0.56648654,0.38701203,0.4224828,0.48815554,0.31347492,0.3010848,0.36887524,0.2545041,0.3407694,1.1525995,0.6088145,0.56968564,0.8014395,1.0204278,1.3139957,1.1739615,0.9800188,0.88457847,0.90223634,1.0888604,0.7519595,0.7744554,0.86514187,0.5017556,0.494556,0.6628079,0.8542766,0.53927505,0.40670443,0.4953316,0.74972785,0.6940192,0.6296341,0.63096416,0.8209486,0.6854493,0.39745155,0.48825622,0.31297868,0.20535693,0.2061907,0.2967837,0.34148574,0.62197703,0.6582455,0.8595469,0.67150855,0.5861492,0.8069459,0.6711702,0.9773372,0.9100441,0.5746741,0.72816235,0.89012605,0.7045775,0.73220164,1.1549722,1.0847746,0.74727595,0.61612314,0.9749955,0.3855049,1.0937824,0.41778162,0.70019287,0.5584268,0.2911599,,,,,,,,,,,,,,,,,,,,,,
